"","target.effect","orig.study.number","orig.N","orig.ES.type","orig.ES","orig.ES.CI","rep.N","rep.ES.type","rep.ES","rep.ES.CI","rep.study.number","rep.outcome","IVs","DVs","rep.type","rep.effort.type","rep.method.differences","rep.active.sample.evidence","other.outcomes","ES.description","EC.URL","orig.study.article.URL","orig.study.article.DOI","rep.study.article.URL","rep.open.data.URL","rep.open.materials.URL","rep.pre.reg.URL","orig.open.data.URL","orig.open.materials.URL","orig.pre.reg.URL","rep.population","discipline","orig.study.pub.year","reporting.standard.used","effect.description","design","statistical.effect.type","orig.test.statistic","orig.pvalue","rep.outcome.bayesian","orig.article.title","RPP.orig.untransformed.ES","RPP.rep.untransformed.ES","RPP.interpretation","RPP.study.number","study.order.CS","rep.num.in.set","social.priming","include.in.HTML.table","rep.num","x_crcited","x_altscore","rvCAN","x_altscore_pyear","x_crcited_pyear","rvCAN_pyear","orig.ES.CI.r","rvCAP","rvCAP_pyear","rvCApyN","orig.pvalue.numeric"
"531","anchoring effect (population of Chicago)","Jacowitz & Kahneman (1995)",156,"d",0.93,0.33,118,"d","2.59","0.5","Klein et al. (2014,UFL)","signal - inconsistent, larger (imprecise)","high vs. low anchor (population of Chicago)","population estimate","very close","ML1 #425",NA,NA,"3 other anchoring DVs (babies, height of Everest, distance to NYC; similar results observed)",NA,NA,"http://facweb.plattsburgh.edu/wendy.braje/students/psy205/JKarticle.pdf","10.1177/01461672952111004","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"cognitive",1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,"yes",531,217,25.5,1.47275641025641,1.10869565217391,9.43478260869565,0.0640328874024526,0.162798782993202,37.4030203926882,1.62621827794297,0.4664504277086,NA
"532","anchoring effect (population of Chicago)","Jacowitz & Kahneman (1995)",156,"d",0.93,0.33,77,"d","1.38","0.5","Vianello & Galliani (2014,UNIPD)","signal - consistent (imprecise)","high vs. low anchor (population of Chicago)","population estimate","very close","ML1 #426",NA,NA,"3 other anchoring DVs (babies, height of Everest, distance to NYC; similar results observed)",NA,NA,"http://facweb.plattsburgh.edu/wendy.braje/students/psy205/JKarticle.pdf","10.1177/01461672952111004","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"cognitive",1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,"yes",532,217,25.5,1.47275641025641,1.10869565217391,9.43478260869565,0.0640328874024526,0.162798782993202,37.4030203926882,1.62621827794297,0.4664504277086,NA
"533","anchoring effect (population of Chicago)","Jacowitz & Kahneman (1995)",156,"d",0.93,0.33,75,"d","2.11","0.58","Schmidt & Nosek (2014,UVA)","signal - inconsistent, larger (imprecise)","high vs. low anchor (population of Chicago)","population estimate","very close","ML1 #427",NA,NA,"3 other anchoring DVs (babies, height of Everest, distance to NYC; similar results observed)",NA,NA,"http://facweb.plattsburgh.edu/wendy.braje/students/psy205/JKarticle.pdf","10.1177/01461672952111004","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"cognitive",1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,"no",533,217,25.5,1.47275641025641,1.10869565217391,9.43478260869565,0.0640328874024526,0.162798782993202,37.4030203926882,1.62621827794297,0.4664504277086,NA
"534","anchoring effect (population of Chicago)","Jacowitz & Kahneman (1995)",156,"d",0.93,0.33,100,"d","2.02","0.48","Hovermale & Joy-Gaba (2014,VCU)","signal - inconsistent, larger (imprecise)","high vs. low anchor (population of Chicago)","population estimate","very close","ML1 #428",NA,NA,"3 other anchoring DVs (babies, height of Everest, distance to NYC; similar results observed)",NA,NA,"http://facweb.plattsburgh.edu/wendy.braje/students/psy205/JKarticle.pdf","10.1177/01461672952111004","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"cognitive",1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,"yes",534,217,25.5,1.47275641025641,1.10869565217391,9.43478260869565,0.0640328874024526,0.162798782993202,37.4030203926882,1.62621827794297,0.4664504277086,NA
"535","anchoring effect (population of Chicago)","Jacowitz & Kahneman (1995)",156,"d",0.93,0.33,88,"d","1.96","0.52","Swol (2014,Wisc)","signal - inconsistent, larger (imprecise)","high vs. low anchor (population of Chicago)","population estimate","very close","ML1 #429",NA,NA,"3 other anchoring DVs (babies, height of Everest, distance to NYC; similar results observed)",NA,NA,"http://facweb.plattsburgh.edu/wendy.braje/students/psy205/JKarticle.pdf","10.1177/01461672952111004","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"cognitive",1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,"yes",535,217,25.5,1.47275641025641,1.10869565217391,9.43478260869565,0.0640328874024526,0.162798782993202,37.4030203926882,1.62621827794297,0.4664504277086,NA
"536","anchoring effect (population of Chicago)","Jacowitz & Kahneman (1995)",156,"d",0.93,0.33,86,"d","2.57","0.58","Wichman (2014,WKU)","signal - inconsistent, larger (imprecise)","high vs. low anchor (population of Chicago)","population estimate","very close","ML1 #430",NA,NA,"3 other anchoring DVs (babies, height of Everest, distance to NYC; similar results observed)",NA,NA,"http://facweb.plattsburgh.edu/wendy.braje/students/psy205/JKarticle.pdf","10.1177/01461672952111004","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"cognitive",1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,"no",536,217,25.5,1.47275641025641,1.10869565217391,9.43478260869565,0.0640328874024526,0.162798782993202,37.4030203926882,1.62621827794297,0.4664504277086,NA
"537","anchoring effect (population of Chicago)","Jacowitz & Kahneman (1995)",156,"d",0.93,0.33,73,"d","1.35","0.52","Woodzicka (2014,WL)","signal - consistent (imprecise)","high vs. low anchor (population of Chicago)","population estimate","very close","ML1 #431",NA,NA,"3 other anchoring DVs (babies, height of Everest, distance to NYC; similar results observed)",NA,NA,"http://facweb.plattsburgh.edu/wendy.braje/students/psy205/JKarticle.pdf","10.1177/01461672952111004","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"cognitive",1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,"yes",537,217,25.5,1.47275641025641,1.10869565217391,9.43478260869565,0.0640328874024526,0.162798782993202,37.4030203926882,1.62621827794297,0.4664504277086,NA
"538","anchoring effect (population of Chicago)","Jacowitz & Kahneman (1995)",156,"d",0.93,0.33,77,"d","1.69","0.53","John & Skorinko (2014,WPI)","signal - inconsistent, larger (imprecise)","high vs. low anchor (population of Chicago)","population estimate","very close","ML1 #432",NA,NA,"3 other anchoring DVs (babies, height of Everest, distance to NYC; similar results observed)",NA,NA,"http://facweb.plattsburgh.edu/wendy.braje/students/psy205/JKarticle.pdf","10.1177/01461672952111004","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"cognitive",1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,"no",538,217,25.5,1.47275641025641,1.10869565217391,9.43478260869565,0.0640328874024526,0.162798782993202,37.4030203926882,1.62621827794297,0.4664504277086,NA
"539","question phrasing effect","Rugg (1941)",NA,"d",0.65,NA,84,"d","1.92","0.52","Bernstein (2014,abington)","signal - inconsistent, larger","allowed vs. forbidden question framing","question endorsement (yes vs. no)","close","ML1 #433",NA,NA,NA,NA,NA,"https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf","10.1086/265467","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"no",539,57,NA,NA,NA,0.74025974025974,NA,NA,NA,NA,NA,NA
"540","question phrasing effect","Rugg (1941)",NA,"d",0.65,NA,120,"d","2.06","0.45","Pilati (2014,brasilia)","signal - inconsistent, larger","allowed vs. forbidden question framing","question endorsement (yes vs. no)","close","ML1 #434",NA,NA,NA,NA,NA,"https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf","10.1086/265467","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"no",540,57,NA,NA,NA,0.74025974025974,NA,NA,NA,NA,NA,NA
"541","question phrasing effect","Rugg (1941)",NA,"d",0.65,NA,84,"d","1.49","0.49","Vranka (2014,Charles)","signal - inconsistent, larger","allowed vs. forbidden question framing","question endorsement (yes vs. no)","close","ML1 #435",NA,NA,NA,NA,NA,"https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf","10.1086/265467","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"no",541,57,NA,NA,NA,0.74025974025974,NA,NA,NA,NA,NA,NA
"542","question phrasing effect","Rugg (1941)",NA,"d",0.65,NA,95,"d","2.3","0.52","Nier (2014,Conncoll)","signal - inconsistent, larger","allowed vs. forbidden question framing","question endorsement (yes vs. no)","close","ML1 #436",NA,NA,NA,NA,NA,"https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf","10.1086/265467","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,"no",542,57,NA,NA,NA,0.74025974025974,NA,NA,NA,NA,NA,NA
"543","question phrasing effect","Rugg (1941)",NA,"d",0.65,NA,96,"d","1.54","0.46","Rutchick (2014,CSUN)","signal - inconsistent, larger","allowed vs. forbidden question framing","question endorsement (yes vs. no)","close","ML1 #437",NA,NA,NA,NA,NA,"https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf","10.1086/265467","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"yes",543,57,NA,NA,NA,0.74025974025974,NA,NA,NA,NA,NA,NA
"544","question phrasing effect","Rugg (1941)",NA,"d",0.65,NA,102,"d","2.53","0.53","Cheong (2014,Help)","signal - inconsistent, larger","allowed vs. forbidden question framing","question endorsement (yes vs. no)","close","ML1 #438",NA,NA,NA,NA,NA,"https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf","10.1086/265467","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,"no",544,57,NA,NA,NA,0.74025974025974,NA,NA,NA,NA,NA,NA
"545","question phrasing effect","Rugg (1941)",NA,"d",0.65,NA,90,"d","1.51","0.48","Vaughn (2014,Ithaca)","signal - inconsistent, larger","allowed vs. forbidden question framing","question endorsement (yes vs. no)","close","ML1 #439",NA,NA,NA,NA,NA,"https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf","10.1086/265467","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,"no",545,57,NA,NA,NA,0.74025974025974,NA,NA,NA,NA,NA,NA
"546","question phrasing effect","Rugg (1941)",NA,"d",0.65,NA,174,"d","2.12","0.38","Kurtz (2014,JMU)","signal - inconsistent, larger","allowed vs. forbidden question framing","question endorsement (yes vs. no)","close","ML1 #440",NA,NA,NA,NA,NA,"https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf","10.1086/265467","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,"yes",546,57,NA,NA,NA,0.74025974025974,NA,NA,NA,NA,NA,NA
"547","question phrasing effect","Rugg (1941)",NA,"d",0.65,NA,113,"d","0.07","0.38","Cemalcilar (2014,KU)","no signal - inconsistent","allowed vs. forbidden question framing","question endorsement (yes vs. no)","close","ML1 #441",NA,NA,NA,NA,NA,"https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf","10.1086/265467","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,"yes",547,57,NA,NA,NA,0.74025974025974,NA,NA,NA,NA,NA,NA
"548","question phrasing effect","Rugg (1941)",NA,"d",0.65,NA,112,"d","0.94","0.4","Packard (2014,Laurier)","signal - consistent","allowed vs. forbidden question framing","question endorsement (yes vs. no)","close","ML1 #442",NA,NA,NA,NA,NA,"https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf","10.1086/265467","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,"yes",548,57,NA,NA,NA,0.74025974025974,NA,NA,NA,NA,NA,NA
"549","question phrasing effect","Rugg (1941)",NA,"d",0.65,NA,277,"d","1.69","0.28","Kappes (2014,LSE)","signal - inconsistent, larger","allowed vs. forbidden question framing","question endorsement (yes vs. no)","close","ML1 #443",NA,NA,NA,NA,NA,"https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf","10.1086/265467","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,"yes",549,57,NA,NA,NA,0.74025974025974,NA,NA,NA,NA,NA,NA
"550","question phrasing effect","Rugg (1941)",NA,"d",0.65,NA,146,"d","2.18","0.42","Huntsinger & Mallett (2014,Luc)","signal - inconsistent, larger","allowed vs. forbidden question framing","question endorsement (yes vs. no)","close","ML1 #444",NA,NA,NA,NA,NA,"https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf","10.1086/265467","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,"yes",550,57,NA,NA,NA,0.74025974025974,NA,NA,NA,NA,NA,NA
"551","question phrasing effect","Rugg (1941)",NA,"d",0.65,NA,98,"d","2.21","0.51","Morris (2014,McDaniel)","signal - inconsistent, larger","allowed vs. forbidden question framing","question endorsement (yes vs. no)","close","ML1 #445",NA,NA,NA,NA,NA,"https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf","10.1086/265467","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,"yes",551,57,NA,NA,NA,0.74025974025974,NA,NA,NA,NA,NA,NA
"552","question phrasing effect","Rugg (1941)",NA,"d",0.65,NA,85,"d","1.91","0.52","Furrow & Thompson (2014,MSVU)","signal - inconsistent, larger","allowed vs. forbidden question framing","question endorsement (yes vs. no)","close","ML1 #446",NA,NA,NA,NA,NA,"https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf","10.1086/265467","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,"no",552,57,NA,NA,NA,0.74025974025974,NA,NA,NA,NA,NA,NA
"553","question phrasing effect","Rugg (1941)",NA,"d",0.65,NA,1000,"d","2.44","0.17","Schmidt & Nosek (2014, MTURK)","signal - inconsistent, larger","allowed vs. forbidden question framing","question endorsement (yes vs. no)","close","ML1 #447",NA,NA,NA,NA,NA,"https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf","10.1086/265467","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,"yes",553,57,NA,NA,NA,0.74025974025974,NA,NA,NA,NA,NA,NA
"554","question phrasing effect","Rugg (1941)",NA,"d",0.65,NA,107,"d","2.04","0.47","Smith (2014,OSU)","signal - inconsistent, larger","allowed vs. forbidden question framing","question endorsement (yes vs. no)","close","ML1 #448",NA,NA,NA,NA,NA,"https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf","10.1086/265467","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,"no",554,57,NA,NA,NA,0.74025974025974,NA,NA,NA,NA,NA,NA
"555","question phrasing effect","Rugg (1941)",NA,"d",0.65,NA,123,"d","4.27","0.64","Levitan (2014,Oxy)","signal - inconsistent, larger","allowed vs. forbidden question framing","question endorsement (yes vs. no)","close","ML1 #449",NA,NA,NA,NA,NA,"https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf","10.1086/265467","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,"yes",555,57,NA,NA,NA,0.74025974025974,NA,NA,NA,NA,NA,NA
"556","question phrasing effect","Rugg (1941)",NA,"d",0.65,NA,1329,"d","2.7","0.15","Schmidt & Nosek (2014,PI)","signal - inconsistent, larger","allowed vs. forbidden question framing","question endorsement (yes vs. no)","close","ML1 #450",NA,NA,NA,NA,NA,"https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf","10.1086/265467","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,"yes",556,57,NA,NA,NA,0.74025974025974,NA,NA,NA,NA,NA,NA
"557","question phrasing effect","Rugg (1941)",NA,"d",0.65,NA,95,"d","2.18","0.52","Adams & Nelson (2014,PSU)","signal - inconsistent, larger","allowed vs. forbidden question framing","question endorsement (yes vs. no)","close","ML1 #451",NA,NA,NA,NA,NA,"https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf","10.1086/265467","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,"no",557,57,NA,NA,NA,0.74025974025974,NA,NA,NA,NA,NA,NA
"558","question phrasing effect","Rugg (1941)",NA,"d",0.65,NA,103,"d","1.43","0.44","Brumbaugh & Storbeck (2014,QCCUNY) Study 1","signal - inconsistent, larger","allowed vs. forbidden question framing","question endorsement (yes vs. no)","close","ML1 #452",NA,NA,NA,NA,NA,"https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf","10.1086/265467","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,"no",558,57,NA,NA,NA,0.74025974025974,NA,NA,NA,NA,NA,NA
"559","question phrasing effect","Rugg (1941)",NA,"d",0.65,NA,86,"d","1.59","0.5","Brumbaugh & Storbeck (2014,QCCUNY2) Study 2","signal - inconsistent, larger","allowed vs. forbidden question framing","question endorsement (yes vs. no)","close","ML1 #453",NA,NA,NA,NA,NA,"https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf","10.1086/265467","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,"no",559,57,NA,NA,NA,0.74025974025974,NA,NA,NA,NA,NA,NA
"560","question phrasing effect","Rugg (1941)",NA,"d",0.65,NA,162,"d","2.43","0.41","Devos (2014,SDSU)","signal - inconsistent, larger","allowed vs. forbidden question framing","question endorsement (yes vs. no)","close","ML1 #454",NA,NA,NA,NA,NA,"https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf","10.1086/265467","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,"yes",560,57,NA,NA,NA,0.74025974025974,NA,NA,NA,NA,NA,NA
"561","question phrasing effect","Rugg (1941)",NA,"d",0.65,NA,79,"d","1.45","0.5","Bocian & Frankowska (2014,SWPS) Study 1","signal - inconsistent, larger","allowed vs. forbidden question framing","question endorsement (yes vs. no)","close","ML1 #455",NA,NA,NA,NA,NA,"https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf","10.1086/265467","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,"no",561,57,NA,NA,NA,0.74025974025974,NA,NA,NA,NA,NA,NA
"562","question phrasing effect","Rugg (1941)",NA,"d",0.65,NA,169,"d","1.74","0.36","Bocian & Frankowska (2014,SWPSON) Study 2","signal - inconsistent, larger","allowed vs. forbidden question framing","question endorsement (yes vs. no)","close","ML1 #456",NA,NA,NA,NA,NA,"https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf","10.1086/265467","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,"yes",562,57,NA,NA,NA,0.74025974025974,NA,NA,NA,NA,NA,NA
"563","question phrasing effect","Rugg (1941)",NA,"d",0.65,NA,187,"d","1.48","0.33","Davis & Hicks (2014,TAMU) Study 1","signal - inconsistent, larger","allowed vs. forbidden question framing","question endorsement (yes vs. no)","close","ML1 #457",NA,NA,NA,NA,NA,"https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf","10.1086/265467","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,"yes",563,57,NA,NA,NA,0.74025974025974,NA,NA,NA,NA,NA,NA
"564","question phrasing effect","Rugg (1941)",NA,"d",0.65,NA,87,"d","1.87","0.52","Hunt & Krueger (2014,TAMUC)","signal - inconsistent, larger","allowed vs. forbidden question framing","question endorsement (yes vs. no)","close","ML1 #458",NA,NA,NA,NA,NA,"https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf","10.1086/265467","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,"no",564,57,NA,NA,NA,0.74025974025974,NA,NA,NA,NA,NA,NA
